,country,Year,internetusage,CPIG,CPIF,Imports,Exports,homicide,migrants,GDP,PPP,tourexp,tvarrival,education,Manufacturing
0,Armenia,2010,25.0,100,100,3782,1011,1.9,7.7,9875,3432,694,684,12.4005,101.7
1,Australia,2010,76.0,100,100,201703,212109,1.0,26.6,1297259,58646,31064,5790,14.3276,100.5
2,Austria,2010,75.2,100,100,150593,144882,0.7,15.2,391893,46599,18758,22004,10.7891,108.1
3,Azerbaijan,2010,46.0,100,100,6597,21278,2.3,3.1,52906,5857,792,1280,8.7008,123.5
4,Belarus,2010,31.8,100,100,34884,25283,4.2,11.5,57232,6042,665,119,11.7781,150.6
5,Brazil,2010,40.7,100,100,181768,201915,22.0,0.3,2208838,11224,5522,5161,14.5604,114.3
6,Bulgaria,2010,46.2,100,100,25360,20608,2.0,1,50610,6835,3807,6047,11.1634,96.7
7,Canada,2010,80.3,100,100,392109,386580,1.6,19.8,1613463,47221,18438,16219,12.336,83.0
8,Chile,2010,45.0,101.4,102.2,59007,71106,3.2,2.2,218538,12860,2362,2801,17.8436,103.8
9,China Hong Kong SAR,2010,72.0,100,100,441369,400692,0.5,39.6,228639,32545,27208,20085,19.9094,89.3
10,Colombia,2010,36.5,100,100,40683,39820,33.7,0.3,287018,6251,3441,1405,16.4186,115.8
11,Croatia,2010,56.6,100,116.6,20067,11811,1.4,13.2,59866,13832,8299,9111,8.9583,97.3
12,Cyprus,2010,53.0,100,100,8645,1506,0.7,16.9,25561,30817,2425,2173,15.6495,93.1
13,Denmark,2010,88.7,100,100,82724,96217,0.8,9.2,321995,57967,5704,9425,15.1033,89.5
14,Ecuador,2010,29.0,100,100,20591,17490,17.6,2.2,69555,4657,786,1047,12.9966,132.5
15,Ethiopia,2010,0.8,100,100,8602,2330,8.5,0.6,26311,300,1434,468,26.304,160.9
16,Finland,2010,86.9,100,100,68767,70117,2.2,4.6,247800,46181,4497,2319,11.9455,98.0
17,France,2010,77.3,100,100,599172,511651,1.3,11.4,2642610,40565,56187,76647,10.0072,87.2
18,Germany,2010,82.0,100,100,1066817,1271096,1.0,12.1,3417095,42241,49126,26875,10.3981,105.2
19,Hungary,2010,65.0,100,100,87432,94749,1.4,4.4,130923,13187,6595,9510,9.6856,109.1
20,Ireland,2010,69.9,100,100,64601,120645,1.1,15.8,222134,48009,8187,7134,9.284,110.0
21,Israel,2010,67.5,100,100,59194,58413,2.0,26.3,233733,31475,5621,2803,13.6107,125.1
22,Italy,2010,53.7,100,100,486984,446840,0.9,9.7,2125058,35578,38438,43626,8.724,88.9
23,Kenya,2010,7.2,100,100,12093,5169,4.7,2.2,40000,967,1620,1470,20.556,126.3
24,Kyrgyzstan,2010,16.3,100,100,3223,1488,19.8,4.3,4794,884,212,1224,15.6813,55.2
25,Lithuania,2010,62.1,100,100,23378,20814,7.0,5.1,37130,11886,958,1507,12.8588,105.2
26,Malaysia,2010,56.3,100,100,164586,198791,1.9,8.6,255018,9071,18152,24577,18.4062,112.2
27,Mali,2010,2.0,100,100,4704,1996,12.2,2.2,10679,708,208,169,16.5039,118.7
28,Mauritius,2010,28.3,100,100,4402,1850,2.6,2,10004,8016,1585,935,14.5732,113.6
29,Mexico,2010,31.1,100,100,301482,298305,22.0,0.8,1057801,9016,12628,23290,18.6426,104.0
30,Mongolia,2010,10.2,100,100,3172,2883,8.8,0.6,7189,2650,288,456,14.7111,136.0
31,Namibia,2010,11.6,100,100,5980,5848,14.4,4.7,11282,5192,473,984,26.1235,129.3
32,New Zealand,2010,80.5,100,100,30158,30932,1.0,21.7,146584,33543,6523,2435,15.7159,86.4
33,Norway,2010,93.4,100,100,77330,130657,0.6,10.8,429131,87831,5299,4767,15.2273,110.5
34,Poland,2010,62.3,100,100,174128,157065,1.1,1.7,479321,12507,10037,12470,11.0646,142.0
35,Portugal,2010,53.3,100,100,77682,49414,1.2,7.2,238303,22371,12985,6756,10.4266,91.7
36,Republic of Moldova,2010,32.3,100,100,3855,1541,6.5,3.9,5812,1423,222,64,22.267,79.5
37,Senegal,2010,8.0,100,100,4782,2088,8.5,2,16725,1295,464,900,24.0464,102.1
38,Serbia,2010,40.9,100,100,16735,9795,1.4,9.1,39460,5412,950,683,10.0982,95.2
39,Singapore,2010,71.0,100,100,310791,351867,0.4,42.7,236420,46592,14178,9161,17.1686,141.2
40,Slovakia,2010,75.7,100,100,64382,63999,1.5,2.7,89501,16561,2335,1327,9.7662,134.6
41,Slovenia,2010,70.0,100,100,26592,24435,0.7,12.4,48014,23477,2721,1869,12.0802,103.5
42,South Africa,2010,24.0,100,100,82949,82626,30.8,4.1,375348,7276,10309,8074,18.0444,98.0
43,Spain,2010,65.8,100,100,315547,246265,0.9,13.4,1431617,30598,54305,52677,10.5619,82.0
44,Sri Lanka,2010,12.0,100,100,12354,8304,3.8,0.2,56726,2808,1044,654,8.6057,126.5
45,Switzerland,2010,83.9,100,100,176281,195609,0.7,26.5,583783,74538,17614,8628,15.3909,119.4
46,Tajikistan,2010,11.6,100,100,2659,1207,2.4,3.6,5642,738,142,160,15.3315,110.8
47,Thailand,2010,22.4,100,100,182393,195312,5.4,4.8,341105,5075,23796,15936,16.2226,127.7
48,Togo,2010,3.0,100,100,1205,648,9.6,3.9,3426,527,105,202,19.6158,103.1
49,Tunisia,2010,36.8,100,100,22215,16427,2.7,0.4,44051,4140,3477,7828,24.8468,114.8
50,United Kingdom,2010,85.0,100,100,627618,422014,1.2,12,2452900,38746,40526,28295,13.026,94.9
